,Training datasets,
Protein_ID,Cysteine_ positions,Pos & Neg samples
sp|Q99KI0|,451,SNO
sp|Q99KI0|,592,SNO
sp|Q99KI0|,740,SNO
sp|Q3UH68|,929,SNO
sp|P42772|,74,SNO
sp|Q9Z1P6|,55,SNO
sp|Q9NYB0|,54,SNO
sp|Q9Z218|,674,SNO
sp|Q80X85|,152,SNO
sp|Q06203|,339,SNO
sp|Q06203|,348,SNO
sp|Q9CQ62|,86,SNO
sp|Q9CQ62|,116,SNO
sp|Q9CQ62|,268,SNO
sp|Q9CQ60|,33,SNO
sp|Q9CQ60|,78,SNO
sp|Q9CQ60|,236,SNO
sp|Q9CPU0|,139,SNO
sp|Q9CQ65|,55,SNO
sp|Q9CQ65|,130,SNO
sp|Q8BGA8|,342,SNO
sp|Q9CPU4|,56,SNO
sp|Q9QUR7|,115,SNO
sp|Q9QUR6|,57,SNO
sp|P40581|,36,SNO
sp|Q92630|,347,SNO
sp|Q92630|,373,SNO
sp|Q9DC70|,164,SNO
sp|P62334|,193,SNO
sp|Q9Z1Q9|,380,SNO
sp|Q9Z1Q9|,478,SNO
sp|Q9Z1Q9|,681,SNO
sp|Q9Z1Q9|,1184,SNO
sp|O70546|,1303,SNO
sp|Q13868|,68,SNO
sp|P28474|,240,SNO
sp|Q9Z1Q2|,7,SNO
sp|Q9Z1Q5|,24,SNO
sp|Q9Z1Q5|,191,SNO
sp|Q9Z1Q5|,223,SNO
sp|P27140|,280,SNO
sp|P54729|,399,SNO
sp|Q9CQ54|,40,SNO
sp|P16015|,66,SNO
sp|P16015|,182,SNO
sp|P16015|,187,SNO
sp|Q9DC69|,86,SNO
sp|Q9DC61|,265,SNO
sp|Q9DC61|,465,SNO
sp|P29317|,612,SNO
sp|P06213|,1083,SNO
sp|P06213|,1165,SNO
sp|P06213|,1261,SNO
sp|P06213|,1272,SNO
sp|P61018|,23,SNO
sp|P61018|,119,SNO
sp|O43396|,34,SNO
sp|O43396|,37,SNO
sp|O43395|,37,SNO
sp|P07900|,481,SNO
sp|Q93ZN2|,198,SNO
sp|P38647|,66,SNO
sp|P38647|,487,SNO
sp|P38647|,608,SNO
sp|P68066|,31,SNO
sp|P16858|,282,SNO
sp|P70388|,206,SNO
sp|Q9DBL1|,261,SNO
sp|Q80WM4|,210,SNO
sp|Q80WM4|,264,SNO
sp|Q01405|,180,SNO
sp|Q8VDW0|,164,SNO
sp|P62754|,12,SNO
sp|P62754|,83,SNO
sp|Q9Y314|,8,SNO
sp|Q15149|,950,SNO
sp|Q15149|,1098,SNO
sp|Q15149|,1136,SNO
sp|Q15149|,3295,SNO
sp|Q15149|,3299,SNO
sp|Q15149|,3336,SNO
sp|Q15149|,3667,SNO
sp|Q9UHG3|,258,SNO
sp|P14206|,148,SNO
sp|P14206|,163,SNO
sp|P51637|,19,SNO
sp|P53811|,94,SNO
sp|P53811|,187,SNO
sp|P53811|,230,SNO
sp|P15532|,145,SNO
sp|P17710|,214,SNO
sp|P17710|,662,SNO
sp|P17710|,669,SNO
sp|P17710|,890,SNO
sp|P17710|,942,SNO
sp|P14211|,163,SNO
sp|P62762|,187,SNO
sp|P93002|,156,SNO
sp|P17717|,128,SNO
sp|P02679|,365,SNO
sp|Q9QUM9|,47,SNO
sp|Q9QUM9|,78,SNO
sp|Q9D1I5|,168,SNO
sp|P02675|,227,SNO
sp|P02675|,231,SNO
sp|P02675|,316,SNO
sp|Q9CXY6|,37,SNO
sp|Q8BG51|,535,SNO
sp|Q8BG51|,572,SNO
sp|Q9QZ73|,29,SNO
sp|Q64521|,270,SNO
sp|Q64521|,285,SNO
sp|Q93092|,250,SNO
sp|Q64520|,98,SNO
sp|P58281|,375,SNO
sp|P58281|,551,SNO
sp|P58281|,786,SNO
sp|Q8R086|,265,SNO
sp|Q8R086|,300,SNO
sp|Q93084|,344,SNO
sp|Q93084|,349,SNO
sp|Q93084|,364,SNO
sp|Q93084|,498,SNO
sp|P26639|,107,SNO
sp|Q9DBJ1|,55,SNO
sp|Q9DBJ1|,153,SNO
sp|Q6NVF9|,159,SNO
sp|P26638|,300,SNO
sp|O35309|,183,SNO
sp|Q9D1H8|,49,SNO
sp|Q9D1H8|,63,SNO
sp|P24456|,446,SNO
sp|Q6ZPY7|,1187,SNO
sp|Q8BFS6|,54,SNO
sp|P40939|,322,SNO
sp|P40936|,231,SNO
sp|P70398|,787,SNO
sp|P97855|,73,SNO
sp|Q6IFX4|,453,SNO
sp|P52503|,79,SNO
sp|Q8R081|,257,SNO
sp|Q8R081|,258,SNO
sp|Q8R081|,401,SNO
sp|Q8R081|,449,SNO
sp|Q8R081|,578,SNO
sp|Q61024|,207,SNO
sp|Q01853|,105,SNO
sp|Q01853|,174,SNO
sp|Q01853|,209,SNO
sp|Q01853|,535,SNO
sp|Q01853|,572,SNO
sp|Q01853|,691,SNO
sp|P62306|,66,SNO
sp|Q9D1G3|,347,SNO
sp|P49748|,156,SNO
sp|Q99615|,175,SNO
sp|P48491|,127,SNO
sp|P23198|,177,SNO
tr|Q9CQ09|,86,SNO
sp|P62717|,16,SNO
sp|P62717|,22,SNO
sp|P62717|,64,SNO
sp|P62717|,109,SNO
sp|P25372|,92,SNO
sp|Q99KB8|,220,SNO
sp|P97821|,447,SNO
sp|Q12904|,161,SNO
sp|Q61074|,13,SNO
sp|P97822|,87,SNO
sp|P97823|,144,SNO
sp|P97823|,211,SNO
sp|P17751|,177,SNO
sp|Q8BFZ1|,72,SNO
sp|Q64105|,160,SNO
sp|Q64105|,172,SNO
sp|Q64105|,235,SNO
sp|Q8BKC5|,266,SNO
sp|Q8BKC5|,733,SNO
sp|Q8BKC5|,972,SNO
sp|P70349|,38,SNO
sp|P70349|,84,SNO
sp|Q9UHB9|,562,SNO
sp|P0A9X4|,113,SNO
sp|O08599|,180,SNO
sp|P42704|,863,SNO
sp|P42704|,1043,SNO
sp|Q9QUH0|,8,SNO
sp|Q99683|,869,SNO
sp|O89103|,52,SNO
sp|Q15185|,75,SNO
sp|Q15185|,76,SNO
sp|Q9I4E3|,249,SNO
sp|P27546|,595,SNO
sp|P27546|,636,SNO
sp|Q00519|,828,SNO
sp|P30713|,50,SNO
sp|Q69Z37|,1281,SNO
sp|Q9Z1G4|,254,SNO
sp|P68032|,219,SNO
sp|Q9JHI5|,134,SNO
sp|Q9JHI5|,348,SNO
sp|Q5U2N3|,259,SNO
sp|Q9Z1G3|,376,SNO
sp|Q9NPH0|,175,SNO
sp|Q9NPH0|,183,SNO
sp|Q9QUI0|,16,SNO
sp|Q9QUI0|,107,SNO
sp|Q9QUI0|,159,SNO
sp|B1AR13|,81,SNO
sp|B1AR13|,119,SNO
sp|Q00987|,77,SNO
sp|P49327|,212,SNO
sp|P49327|,634,SNO
sp|P49327|,642,SNO
sp|P49327|,1118,SNO
sp|P49327|,1127,SNO
sp|P49327|,1471,SNO
sp|P49327|,2202,SNO
sp|Q9ERK4|,939,SNO
sp|Q8CAK1|,166,SNO
sp|Q8CAK1|,260,SNO
sp|Q9H9Q2|,110,SNO
sp|Q9H9Q2|,240,SNO
sp|Q6IBS0|,141,SNO
sp|Q8BG93|,75,SNO
sp|P68040|,138,SNO
sp|P68040|,153,SNO
sp|P68040|,168,SNO
sp|P68040|,182,SNO
sp|P68040|,207,SNO
sp|P68040|,240,SNO
sp|P68040|,249,SNO
sp|P97807|,330,SNO
sp|P68037|,86,SNO
sp|Q9QYR6|,2165,SNO
sp|Q9D1L9|,66,SNO
sp|P62736|,259,SNO
sp|P62736|,287,SNO
sp|P62736|,376,SNO
sp|Q8K010|,497,SNO
tr|Q9BQQ5|,70,SNO
sp|Q8VE95|,68,SNO
sp|Q8VE95|,100,SNO
sp|Q8VE95|,109,SNO
sp|Q8VE95|,132,SNO
sp|Q12931|,501,SNO
sp|Q7TMK9|,96,SNO
sp|Q9DBM2|,17,SNO
sp|P14231|,10,SNO
sp|P14231|,129,SNO
sp|P14231|,261,SNO
sp|P58252|,41,SNO
sp|P58252|,290,SNO
sp|P58252|,369,SNO
sp|P58252|,466,SNO
sp|P58252|,567,SNO
sp|P58252|,591,SNO
sp|P58252|,651,SNO
sp|P58252|,693,SNO
sp|P58252|,728,SNO
sp|P58252|,751,SNO
sp|Q8C522|,34,SNO
sp|P62746|,159,SNO
sp|Q8BWY3|,127,SNO
sp|O35737|,22,SNO
sp|Q01813|,112,SNO
sp|Q810U3|,63,SNO
sp|Q810U3|,452,SNO
sp|Q810U3|,501,SNO
sp|B2RYG6|,91,SNO
sp|Q62407|,1697,SNO
sp|Q99L85|,95,SNO
sp|Q9Y3I1|,286,SNO
sp|Q61553|,80,SNO
sp|Q61553|,121,SNO
sp|Q61553|,260,SNO
sp|Q61553|,341,SNO
sp|Q8R143|,63,SNO
tr|Q0P6B2|,328,SNO
sp|P22695|,125,SNO
sp|Q15661|,188,SNO
sp|Q8BH00|,354,SNO
sp|Q91YI0|,129,SNO
sp|Q91YI0|,307,SNO
sp|Q8C5H8|,181,SNO
sp|Q8C5H8|,321,SNO
sp|P46660|,54,SNO
sp|Q62418|,127,SNO
sp|P50700|,72,SNO
sp|Q8K0G5|,198,SNO
sp|P35520|,109,SNO
sp|O43447|,131,SNO
sp|P10242|,130,SNO
sp|P31167|,130,SNO
sp|P32020|,495,SNO
sp|Q9CQC9|,178,SNO
sp|P60981|,135,SNO
sp|Q13011|,187,SNO
sp|Q78PY7|,31,SNO
sp|Q78PY7|,96,SNO
sp|Q78PY7|,152,SNO
sp|Q78PY7|,228,SNO
sp|Q9CZ42|,78,SNO
sp|Q9CZ42|,104,SNO
sp|Q9CZ42|,257,SNO
sp|Q9CZ42|,306,SNO
sp|Q9DCD0|,170,SNO
sp|Q9DCD0|,402,SNO
sp|P35998|,389,SNO
sp|Q01469|,67,SNO
sp|Q9UDY4|,175,SNO
sp|Q8R127|,77,SNO
sp|Q8R127|,98,SNO
sp|Q8R127|,238,SNO
sp|Q6AYK8|,258,SNO
sp|Q9D6J6|,223,SNO
sp|Q9D6J6|,224,SNO
sp|O94927|,349,SNO
sp|O94927|,350,SNO
sp|Q9D6J5|,130,SNO
sp|P0AFC7|,102,SNO
sp|Q61543|,503,SNO
sp|Q61543|,511,SNO
sp|P35505|,315,SNO
sp|P35505|,396,SNO
sp|P35505|,408,SNO
sp|Q9DCC4|,49,SNO
sp|Q15208|,234,SNO
sp|Q9CZ30|,187,SNO
sp|Q5SFM8|,49,SNO
sp|Q9H257|,178,SNO
sp|P70313|,211,SNO
sp|Q05816|,43,SNO
sp|Q05816|,87,SNO
sp|Q05816|,120,SNO
sp|Q05816|,127,SNO
sp|Q9CQA3|,70,SNO
sp|Q8VEM8|,52,SNO
sp|Q8VEM8|,86,SNO
sp|Q8VEM8|,131,SNO
sp|Q8VEM8|,232,SNO
sp|Q8VEM8|,272,SNO
sp|P47962|,62,SNO
sp|P47962|,76,SNO
sp|P47962|,100,SNO
sp|P62702|,181,SNO
sp|P60520|,15,SNO
sp|Q16543|,308,SNO
sp|Q16543|,336,SNO
sp|P62703|,41,SNO
sp|P08397|,114,SNO
sp|P08397|,261,SNO
sp|P47964|,48,SNO
sp|Q61598|,317,SNO
sp|P19096|,893,SNO
sp|P19096|,1557,SNO
sp|P19096|,2003,SNO
sp|P19096|,2017,SNO
sp|P40926|,89,SNO
sp|P40926|,93,SNO
sp|P40926|,212,SNO
sp|P40926|,275,SNO
sp|P40926|,285,SNO
sp|P40925|,154,SNO
sp|Q8BTM8|,8,SNO
sp|Q8BTM8|,483,SNO
sp|Q8BTM8|,623,SNO
sp|Q8BTM8|,631,SNO
sp|Q8BTM8|,1018,SNO
sp|Q8BTM8|,1453,SNO
sp|Q8BTM8|,1997,SNO
sp|Q8BTM8|,2199,SNO
sp|Q8BTM8|,2293,SNO
sp|Q8BTM8|,2378,SNO
sp|Q8BTM8|,2476,SNO
sp|Q8BTM8|,2601,SNO
sp|Q9DCJ5|,66,SNO
sp|P32067|,18,SNO
sp|Q8C1E7|,47,SNO
sp|Q8R5A6|,150,SNO
sp|P35579|,172,SNO
sp|P35579|,896,SNO
sp|P35579|,931,SNO
sp|P35579|,988,SNO
sp|P35580|,823,SNO
sp|Q8BXV2|,218,SNO
sp|Q8BY71|,24,SNO
sp|O88778|,2560,SNO
sp|P45376|,45,SNO
sp|P45376|,81,SNO
sp|P45376|,304,SNO
sp|P45377|,187,SNO
sp|Q16555|,504,SNO
sp|Q9CQH8|,23,SNO
sp|Q8BH59|,435,SNO
sp|P0A9P0|,392,SNO
sp|Q9D710|,186,SNO
sp|P03995|,291,SNO
sp|P24452|,77,SNO
sp|Q9BW61|,25,SNO
sp|Q9ASR1|,370,SNO
sp|O95801|,367,SNO
sp|O95801|,374,SNO
sp|Q5SWU9|,812,SNO
sp|Q7TNG5|,395,SNO
sp|P57776|,247,SNO
sp|Q9UQM7|,6,SNO
sp|Q9UQM7|,280,SNO
sp|Q9UQM7|,289,SNO
sp|Q7L5N1|,143,SNO
sp|Q9NZ32|,27,SNO
sp|Q9NZ32|,97,SNO
sp|P57780|,794,SNO
sp|Q3UQ84|,585,SNO
sp|Q01433|,230,SNO
sp|O88767|,121,SNO
sp|Q7TNG8|,63,SNO
sp|Q7TNG8|,369,SNO
sp|Q7TNG8|,439,SNO
sp|Q9D2G2|,246,SNO
sp|P25779|,147,SNO
sp|Q99714|,91,SNO
sp|Q99714|,214,SNO
sp|P00493|,106,SNO
sp|Q62426|,64,SNO
sp|Q8BKZ9|,170,SNO
sp|Q8BKZ9|,307,SNO
sp|Q96C19|,172,SNO
sp|Q68FD5|,151,SNO
sp|Q68FD5|,459,SNO
sp|Q68FD5|,491,SNO
sp|Q68FD5|,918,SNO
sp|Q68FD5|,926,SNO
sp|Q68FD5|,934,SNO
sp|Q68FD5|,1102,SNO
sp|P36405|,118,SNO
sp|P35557|,371,SNO
sp|Q99700|,301,SNO
sp|P49717|,604,SNO
sp|Q9ESD7|,344,SNO
sp|Q9ESD7|,834,SNO
sp|P68431|,97,SNO
sp|Q8R164|,206,SNO
sp|Q8R164|,234,SNO
sp|O95816|,162,SNO
sp|Q9NQC3|,1101,SNO
sp|Q8BKY8|,276,SNO
sp|P20073|,298,SNO
sp|Q5SSK3|,53,SNO
sp|Q9D6N1|,232,SNO
sp|O43865|,272,SNO
sp|P36873|,155,SNO
sp|P36873|,158,SNO
sp|Q9FMU6|,104,SNO
sp|Q62433|,289,SNO
sp|O54991|,1210,SNO
sp|O08663|,135,SNO
sp|O08663|,380,SNO
sp|O08663|,468,SNO
tr|B1AUN2|,334,SNO
sp|O94979|,60,SNO
sp|O94979|,1130,SNO
sp|Q9D6M3|,52,SNO
sp|Q9D6M3|,271,SNO
sp|Q8BGQ7|,903,SNO
sp|Q8K4Q0|,362,SNO
sp|Q9CQE3|,100,SNO
sp|P10639|,73,SNO
sp|P12814|,154,SNO
sp|P10637|,614,SNO
sp|P93819|,155,SNO
sp|Q99P88|,799,SNO
sp|Q99P88|,1208,SNO
sp|Q99L04|,10,SNO
sp|Q99L04|,177,SNO
sp|P10632|,435,SNO
sp|Q8CAY6|,65,SNO
sp|Q8CAY6|,360,SNO
sp|P47915|,117,SNO
sp|Q497Q6|,177,SNO
sp|Q8BGH2|,65,SNO
sp|Q8BGH2|,237,SNO
sp|Q8BGH2|,403,SNO
sp|Q8BGH2|,421,SNO
sp|Q8BGH2|,445,SNO
sp|Q9JI75|,223,SNO
sp|Q60631|,198,SNO
sp|Q791T5|,206,SNO
sp|Q791T5|,222,SNO
sp|Q791T5|,359,SNO
sp|Q9CPZ8|,31,SNO
sp|Q99KN2|,245,SNO
sp|Q810L3|,341,SNO
sp|Q03265|,244,SNO
sp|Q03265|,294,SNO
sp|Q6PH85|,18,SNO
sp|P84096|,105,SNO
sp|Q9Y3B4|,74,SNO
sp|Q9Y3B4|,83,SNO
sp|P84095|,157,SNO
sp|O08600|,110,SNO
sp|O08600|,193,SNO
tr|B3KRK8|,315,SNO
sp|P06151|,84,SNO
sp|P06151|,293,SNO
sp|Q9JHU4|,631,SNO
sp|Q9JHU4|,4568,SNO
sp|P60900|,154,SNO
sp|P60900|,161,SNO
sp|P09668|,141,SNO
sp|O15382|,135,SNO
sp|O15382|,342,SNO
sp|O15382|,345,SNO
sp|Q8BXG3|,410,SNO
sp|P35918|,1043,SNO
sp|Q9CPY7|,313,SNO
sp|Q9CPY7|,335,SNO
sp|Q9CPY7|,376,SNO
sp|Q9CPY7|,445,SNO
sp|Q9CPY7|,462,SNO
sp|Q05431|,32,SNO
sp|Q05431|,49,SNO
sp|A2AN08|,2552,SNO
sp|P32883|,80,SNO
sp|Q8K4F5|,127,SNO
sp|Q9Y3C5|,4,SNO
sp|Q9Y3C8|,116,SNO
sp|P68871|,94,SNO
sp|P68871|,113,SNO
sp|Q9JI57|,230,SNO
sp|Q60605|,32,SNO
sp|Q3ULD5|,131,SNO
sp|Q3ULD5|,167,SNO
sp|Q3ULD5|,267,SNO
sp|Q3ULD5|,431,SNO
sp|O75874|,379,SNO
sp|P53395|,279,SNO
sp|P53395|,333,SNO
sp|Q05421|,261,SNO
sp|Q05421|,268,SNO
sp|Q05421|,437,SNO
sp|Q05421|,488,SNO
sp|P68404|,217,SNO
sp|Q8TCG1|,92,SNO
sp|Q8TCG1|,108,SNO
sp|Q9CQ92|,41,SNO
sp|Q8BP67|,6,SNO
sp|Q8BP67|,36,SNO
sp|Q921M4|,981,SNO
sp|P97384|,382,SNO
sp|P13707|,7,SNO
sp|P13707|,329,SNO
sp|P13707|,341,SNO
sp|P35979|,17,SNO
sp|P35979|,141,SNO
sp|P35979|,162,SNO
sp|Q62848|,350,SNO
sp|Q9DCB8|,56,SNO
sp|Q9DCB8|,79,SNO
sp|Q99L47|,208,SNO
sp|Q9DGJ2|,10,SNO
sp|Q99L45|,224,SNO
sp|P62281|,60,SNO
sp|P62281|,116,SNO
sp|P62281|,131,SNO
sp|Q61990|,54,SNO
sp|Q61990|,109,SNO
sp|Q61990|,158,SNO
sp|Q8K0D5|,723,SNO
sp|P23508|,58,SNO
sp|Q8K0C8|,92,SNO
sp|P52480|,31,SNO
sp|P52480|,49,SNO
sp|P52480|,152,SNO
sp|P52480|,165,SNO
sp|P52480|,326,SNO
sp|P52480|,358,SNO
sp|P52480|,423,SNO
sp|P52480|,424,SNO
sp|P52480|,474,SNO
sp|Q9CZ13|,69,SNO
sp|Q9CZ13|,268,SNO
sp|Q9CZ13|,380,SNO
sp|Q9CZ13|,410,SNO
sp|Q9CZ13|,453,SNO
sp|P97390|,172,SNO
sp|P47955|,61,SNO
sp|Q8BKT7|,59,SNO
sp|Q60676|,77,SNO
sp|Q60676|,404,SNO
sp|Q9DCA2|,109,SNO
sp|Q9Z1W9|,249,SNO
sp|Q9Z1W9|,536,SNO
sp|Q08J23|,93,SNO
sp|O70161|,581,SNO
sp|Q99KR7|,156,SNO
sp|Q99KR7|,202,SNO
sp|P30275|,77,SNO
sp|Q91YE3|,58,SNO
sp|Q00195|,460,SNO
sp|P64463|,52,SNO
sp|Q921S7|,207,SNO
sp|O54931|,416,SNO
sp|Q15631|,225,SNO
sp|Q8R0N6|,260,SNO
sp|Q8BGK2|,23,SNO
sp|Q8BGK2|,106,SNO
sp|Q8BGK2|,137,SNO
sp|Q8BGK2|,206,SNO
sp|Q8BGK2|,294,SNO
sp|Q8BGK2|,313,SNO
sp|P21333|,444,SNO
sp|P21333|,717,SNO
sp|P21333|,733,SNO
sp|P21333|,810,SNO
sp|P21333|,1260,SNO
sp|P21333|,2543,SNO
sp|P11506|,487,SNO
sp|P11506|,497,SNO
sp|P11983|,385,SNO
sp|Q8VEK3|,311,SNO
sp|Q8VEK3|,449,SNO
sp|Q8VEK3|,583,SNO
sp|Q99KQ4|,397,SNO
sp|P84091|,246,SNO
sp|P84091|,251,SNO
sp|P84091|,337,SNO
sp|Q3ULJ0|,9,SNO
sp|Q3ULJ0|,104,SNO
sp|Q3ULJ0|,216,SNO
sp|P84087|,90,SNO
sp|P67984|,25,SNO
sp|P84086|,105,SNO
sp|Q9HC38|,197,SNO
sp|Q9HC38|,221,SNO
sp|P63141|,482,SNO
sp|P09671|,164,SNO
sp|P00888|,250,SNO
sp|Q99KP6|,114,SNO
sp|Q8CFE6|,400,SNO
sp|Q9D6F9|,303,SNO
sp|P00403|,196,SNO
sp|P00403|,200,SNO
sp|Q6NS46|,1229,SNO
sp|P47934|,287,SNO
sp|P47934|,449,SNO
sp|P07014|,75,SNO
sp|P97370|,191,SNO
sp|P97370|,249,SNO
sp|Q14315|,1103,SNO
sp|P97372|,33,SNO
sp|Q9JI91|,187,SNO
sp|Q9JI91|,487,SNO
sp|Q9JMA1|,257,SNO
sp|P11517|,126,SNO
sp|O70145|,291,SNO
sp|Q791V5|,296,SNO
sp|Q9QZD9|,76,SNO
sp|P51174|,166,SNO
sp|P51174|,342,SNO
sp|P51174|,351,SNO
sp|Q99L13|,210,SNO
sp|Q99L13|,250,SNO
sp|Q9Z1Z0|,303,SNO
sp|P84076|,38,SNO
sp|Q9Z1Z2|,305,SNO
sp|Q8N0X7|,499,SNO
sp|Q8N0X7|,504,SNO
sp|P23975|,351,SNO
sp|Q9JHW2|,97,SNO
sp|Q9JHW2|,146,SNO
sp|Q9JHW2|,153,SNO
sp|P70670|,1763,SNO
sp|P04117|FABP4_MOUSE,2,Non-SNO
sp|P49023|PAXI_HUMAN,290,Non-SNO
sp|P49023|PAXI_HUMAN,358,Non-SNO
sp|P49023|PAXI_HUMAN,361,Non-SNO
sp|P49023|PAXI_HUMAN,384,Non-SNO
sp|P49023|PAXI_HUMAN,387,Non-SNO
sp|P49023|PAXI_HUMAN,405,Non-SNO
sp|P49023|PAXI_HUMAN,417,Non-SNO
sp|P49023|PAXI_HUMAN,420,Non-SNO
sp|P49023|PAXI_HUMAN,443,Non-SNO
sp|P49023|PAXI_HUMAN,446,Non-SNO
sp|P49023|PAXI_HUMAN,464,Non-SNO
sp|P49023|PAXI_HUMAN,476,Non-SNO
sp|P49023|PAXI_HUMAN,479,Non-SNO
sp|P49023|PAXI_HUMAN,499,Non-SNO
sp|P49023|PAXI_HUMAN,502,Non-SNO
sp|P49023|PAXI_HUMAN,505,Non-SNO
sp|P49023|PAXI_HUMAN,523,Non-SNO
sp|P49023|PAXI_HUMAN,535,Non-SNO
sp|P49023|PAXI_HUMAN,538,Non-SNO
sp|P49023|PAXI_HUMAN,546,Non-SNO
sp|P49023|PAXI_HUMAN,561,Non-SNO
sp|P49023|PAXI_HUMAN,564,Non-SNO
sp|P49023|PAXI_HUMAN,582,Non-SNO
sp|P49023|PAXI_HUMAN,585,Non-SNO
sp|P49023|PAXI_HUMAN,591,Non-SNO
sp|O70250|PGAM2_MOUSE,153,Non-SNO
sp|O70251|EF1B_MOUSE ,161,Non-SNO
sp|O70251|EF1B_MOUSE ,191,Non-SNO
sp|A3KMP2|TTC38_MOUSE,6,Non-SNO
sp|A3KMP2|TTC38_MOUSE,49,Non-SNO
sp|A3KMP2|TTC38_MOUSE,248,Non-SNO
sp|A3KMP2|TTC38_MOUSE,292,Non-SNO
sp|A3KMP2|TTC38_MOUSE,376,Non-SNO
sp|O35490|BHMT1_MOUSE,104,Non-SNO
sp|O35490|BHMT1_MOUSE,186,Non-SNO
sp|O35490|BHMT1_MOUSE,201,Non-SNO
sp|P17427|AP2A2_MOUSE,23,Non-SNO
sp|P17427|AP2A2_MOUSE,60,Non-SNO
sp|P17427|AP2A2_MOUSE,134,Non-SNO
sp|P17427|AP2A2_MOUSE,171,Non-SNO
sp|P17427|AP2A2_MOUSE,267,Non-SNO
sp|P17427|AP2A2_MOUSE,282,Non-SNO
sp|P17427|AP2A2_MOUSE,353,Non-SNO
sp|P17427|AP2A2_MOUSE,396,Non-SNO
sp|P17427|AP2A2_MOUSE,491,Non-SNO
sp|P17427|AP2A2_MOUSE,532,Non-SNO
sp|P17427|AP2A2_MOUSE,710,Non-SNO
sp|P17427|AP2A2_MOUSE,758,Non-SNO
sp|P17427|AP2A2_MOUSE,791,Non-SNO
sp|P17427|AP2A2_MOUSE,902,Non-SNO
sp|P17427|AP2A2_MOUSE,931,Non-SNO
sp|P17426|AP2A1_MOUSE,23,Non-SNO
sp|P17426|AP2A1_MOUSE,60,Non-SNO
sp|P17426|AP2A1_MOUSE,134,Non-SNO
sp|P17426|AP2A1_MOUSE,171,Non-SNO
sp|P17426|AP2A1_MOUSE,213,Non-SNO
sp|P17426|AP2A1_MOUSE,215,Non-SNO
sp|P17426|AP2A1_MOUSE,225,Non-SNO
sp|P17426|AP2A1_MOUSE,267,Non-SNO
sp|P17426|AP2A1_MOUSE,331,Non-SNO
sp|P17426|AP2A1_MOUSE,354,Non-SNO
sp|P17426|AP2A1_MOUSE,397,Non-SNO
sp|P17426|AP2A1_MOUSE,492,Non-SNO
sp|P17426|AP2A1_MOUSE,533,Non-SNO
sp|P17426|AP2A1_MOUSE,749,Non-SNO
sp|P17426|AP2A1_MOUSE,830,Non-SNO
sp|Q8JZN5|ACAD9_MOUSE,4,Non-SNO
sp|Q8JZN5|ACAD9_MOUSE,41,Non-SNO
sp|Q8JZN5|ACAD9_MOUSE,275,Non-SNO
sp|Q8JZN5|ACAD9_MOUSE,379,Non-SNO
sp|Q8JZN5|ACAD9_MOUSE,397,Non-SNO
sp|Q8JZN5|ACAD9_MOUSE,576,Non-SNO
sp|P17425|HMCS1_RAT,12,Non-SNO
sp|P17425|HMCS1_RAT,59,Non-SNO
sp|P17425|HMCS1_RAT,69,Non-SNO
sp|P17425|HMCS1_RAT,86,Non-SNO
sp|P17425|HMCS1_RAT,129,Non-SNO
sp|P17425|HMCS1_RAT,224,Non-SNO
sp|P17425|HMCS1_RAT,232,Non-SNO
sp|P17425|HMCS1_RAT,268,Non-SNO
sp|P17425|HMCS1_RAT,406,Non-SNO
sp|P17425|HMCS1_RAT,443,Non-SNO
sp|P63323|RS12_MOUSE,50,Non-SNO
sp|P63323|RS12_MOUSE,56,Non-SNO
sp|P63323|RS12_MOUSE,106,Non-SNO
sp|P63323|RS12_MOUSE,108,Non-SNO
sp|P63323|RS12_MOUSE,130,Non-SNO
sp|P37040|NCPR_MOUSE,136,Non-SNO
sp|P37040|NCPR_MOUSE,228,Non-SNO
sp|P37040|NCPR_MOUSE,363,Non-SNO
sp|P37040|NCPR_MOUSE,445,Non-SNO
sp|O60443|GSDME_HUMAN,45,Non-SNO
sp|O60443|GSDME_HUMAN,168,Non-SNO
sp|O60443|GSDME_HUMAN,180,Non-SNO
sp|O60443|GSDME_HUMAN,235,Non-SNO
sp|O60443|GSDME_HUMAN,331,Non-SNO
sp|O60443|GSDME_HUMAN,365,Non-SNO
sp|O60443|GSDME_HUMAN,371,Non-SNO
sp|O60443|GSDME_HUMAN,407,Non-SNO
sp|O60443|GSDME_HUMAN,408,Non-SNO
sp|O60443|GSDME_HUMAN,417,Non-SNO
sp|O60443|GSDME_HUMAN,482,Non-SNO
sp|O60443|GSDME_HUMAN,489,Non-SNO
sp|O35488|S27A2_MOUSE,21,Non-SNO
sp|O35488|S27A2_MOUSE,22,Non-SNO
sp|O35488|S27A2_MOUSE,23,Non-SNO
sp|O35488|S27A2_MOUSE,106,Non-SNO
sp|O35488|S27A2_MOUSE,129,Non-SNO
sp|O35488|S27A2_MOUSE,133,Non-SNO
sp|O35488|S27A2_MOUSE,146,Non-SNO
sp|O35488|S27A2_MOUSE,149,Non-SNO
sp|O35488|S27A2_MOUSE,150,Non-SNO
sp|O35488|S27A2_MOUSE,279,Non-SNO
sp|O35488|S27A2_MOUSE,301,Non-SNO
sp|O35488|S27A2_MOUSE,320,Non-SNO
sp|O35488|S27A2_MOUSE,414,Non-SNO
sp|Q9UL62|TRPC5_HUMAN,65,Non-SNO
